,price,volume
2021-02-06 00:00:00+00:00,1.00116429,451561.73560555326
2021-02-06 00:30:00+00:00,1.00043059,284851.1078901724
2021-02-06 01:00:00+00:00,1.00089457,574835.1203093749
2021-02-06 01:30:00+00:00,1.00101511,1450841.495928606
2021-02-06 02:00:00+00:00,1.00081236,527437.0076990426
2021-02-06 02:30:00+00:00,1.00125669,543504.6720900775
2021-02-06 03:00:00+00:00,1.00090565,453823.57032684435
2021-02-06 03:30:00+00:00,1.00104952,340958.36463298724
2021-02-06 04:00:00+00:00,1.0008675,212419.0784731763
2021-02-06 04:30:00+00:00,1.00069339,409182.0360796491
2021-02-06 05:00:00+00:00,1.00013768,253247.06901684476
2021-02-06 05:30:00+00:00,0.99964022,149038.71790554593
2021-02-06 06:00:00+00:00,0.99993315,212689.73267077428
2021-02-06 06:30:00+00:00,0.99993157,184433.7134286364
2021-02-06 07:00:00+00:00,1.00037809,200323.46023491188
2021-02-06 07:30:00+00:00,1.00035971,285588.33444596204
2021-02-06 08:00:00+00:00,1.00085542,245409.32352269656
2021-02-06 08:30:00+00:00,1.00014197,191975.86961586232
2021-02-06 09:00:00+00:00,1.00005639,223034.70506785583
2021-02-06 09:30:00+00:00,1.00005175,209884.56026160385
2021-02-06 10:00:00+00:00,1.00041509,222883.20932516505
2021-02-06 10:30:00+00:00,1.00053092,198061.226031566
2021-02-06 11:00:00+00:00,1.00098666,362559.7103294312
2021-02-06 11:30:00+00:00,1.00145284,280700.45017038647
2021-02-06 12:00:00+00:00,1.00097333,365033.54655001906
2021-02-06 12:30:00+00:00,1.00055177,228854.95680306223
2021-02-06 13:00:00+00:00,1.00021532,284173.3675804475
2021-02-06 13:30:00+00:00,1.00106062,269400.03715950804
2021-02-06 14:00:00+00:00,1.00141123,314820.43678037025
2021-02-06 14:30:00+00:00,1.00073704,358926.3618128204
2021-02-06 15:00:00+00:00,1.00054844,479126.8726898868
2021-02-06 15:30:00+00:00,1.00050032,382995.49021059467
2021-02-06 16:00:00+00:00,1.00081022,689940.392719924
2021-02-06 16:30:00+00:00,1.00040465,193277.35230736824
2021-02-06 17:00:00+00:00,1.00170742,300215.6955126485
2021-02-06 17:30:00+00:00,1.00170011,334913.2558945178
2021-02-06 18:00:00+00:00,1.00120571,378612.3958814176
2021-02-06 18:30:00+00:00,1.00165617,447467.3976416763
2021-02-06 19:00:00+00:00,1.00078626,543980.8221265601
2021-02-06 19:30:00+00:00,1.00048413,404645.698754266
2021-02-06 20:00:00+00:00,1.00140058,743608.0131007623
2021-02-06 20:30:00+00:00,1.00149478,662409.3458479833
2021-02-06 21:00:00+00:00,1.00091295,219672.93357509896
2021-02-06 21:30:00+00:00,1.00203689,335632.6204839512
2021-02-06 22:00:00+00:00,1.00194123,712829.4508203366
2021-02-06 22:30:00+00:00,1.00307732,808256.7978843193
2021-02-06 23:00:00+00:00,1.00083034,982721.2946144074
2021-02-06 23:30:00+00:00,1.00075333,509018.42713239056
2021-02-07 00:00:00+00:00,1.00013761,291167.6681590484
2021-02-07 00:30:00+00:00,0.99966608,239726.36227926303
2021-02-07 01:00:00+00:00,1.00045824,227293.78710525864
2021-02-07 01:30:00+00:00,1.00031111,586502.4804827116
2021-02-07 02:00:00+00:00,1.00000072,629219.7551301992
2021-02-07 02:30:00+00:00,1.00017674,542912.1937431586
2021-02-07 03:00:00+00:00,0.99957947,298924.3176892805
2021-02-07 03:30:00+00:00,0.99984401,228258.7623069216
2021-02-07 04:00:00+00:00,1.00008283,256323.8007311088
2021-02-07 04:30:00+00:00,1.00048344,511561.564570506
2021-02-07 05:00:00+00:00,1.00031264,643034.6874212151
2021-02-07 05:30:00+00:00,1.00030452,389750.59738031094
2021-02-07 06:00:00+00:00,1.00033495,215840.3310213326
2021-02-07 06:30:00+00:00,1.00038885,182274.74521286448
2021-02-07 07:00:00+00:00,1.00011872,154111.079830135
2021-02-07 07:30:00+00:00,1.00031224,200882.35982480095
2021-02-07 08:00:00+00:00,1.0004042,263932.37294236105
2021-02-07 08:30:00+00:00,0.99992986,207316.36919757767
2021-02-07 09:00:00+00:00,0.99993435,183720.96791505185
2021-02-07 09:30:00+00:00,0.99957558,154684.99219505052
2021-02-07 10:00:00+00:00,1.00034911,326315.6375507267
2021-02-07 10:30:00+00:00,1.00014656,151308.6353980913
2021-02-07 11:00:00+00:00,1.0007862,240908.48452763265
2021-02-07 11:30:00+00:00,1.00007581,221329.3318517892
2021-02-07 12:00:00+00:00,1.0005082,237321.98274227025
2021-02-07 12:30:00+00:00,1.00005487,203870.0238704662
2021-02-07 13:00:00+00:00,0.99953478,193546.77841743868
2021-02-07 13:30:00+00:00,1.00020868,223244.93688492393
2021-02-07 14:00:00+00:00,1.00054087,339359.50815448706
2021-02-07 14:30:00+00:00,1.00034817,290182.84283928893
2021-02-07 15:00:00+00:00,1.00147523,867594.3033774928
2021-02-07 15:30:00+00:00,1.00138051,621600.012477582
2021-02-07 16:00:00+00:00,1.00051717,943993.7418756369
2021-02-07 16:30:00+00:00,1.00092808,560261.1248024537
2021-02-07 17:00:00+00:00,1.00098644,732645.0377277649
2021-02-07 17:30:00+00:00,1.0007551,391173.4987032125
2021-02-07 18:00:00+00:00,1.00057049,270143.40984991984
2021-02-07 18:30:00+00:00,1.00142121,298131.3017504863
2021-02-07 19:00:00+00:00,1.00051032,286217.19493240805
2021-02-07 19:30:00+00:00,1.00124788,571671.3982655385
2021-02-07 20:00:00+00:00,1.00141597,304873.5922318371
2021-02-07 20:30:00+00:00,1.00115693,210941.3688260176
2021-02-07 21:00:00+00:00,1.00064426,251706.24711942728
2021-02-07 21:30:00+00:00,1.00062995,268577.69644086965
2021-02-07 22:00:00+00:00,1.00104225,255497.46674098968
2021-02-07 22:30:00+00:00,1.0008847,268137.68466962123
2021-02-07 23:00:00+00:00,1.0008383,295187.1617417299
2021-02-07 23:30:00+00:00,1.00081997,378736.94243395806
2021-02-08 00:00:00+00:00,1.00072146,203395.74764114452
2021-02-08 00:30:00+00:00,1.0028701,389259.2702751109
2021-02-08 01:00:00+00:00,0.9993923,128703.66924074818
2021-02-08 01:30:00+00:00,0.99985549,285041.5539482902
2021-02-08 02:00:00+00:00,1.0003411,173162.33307886033
2021-02-08 02:30:00+00:00,1.00042672,511665.2849793634
2021-02-08 03:00:00+00:00,1.00039331,371076.5126658421
2021-02-08 03:30:00+00:00,1.00047065,172622.5492546175
2021-02-08 04:00:00+00:00,1.00020296,270790.7332074755
2021-02-08 04:30:00+00:00,0.99985501,355947.8448205328
2021-02-08 05:00:00+00:00,1.00025564,193783.8310198897
2021-02-08 05:30:00+00:00,0.99947214,231562.6228914711
2021-02-08 06:00:00+00:00,1.00030511,220363.93876647088
2021-02-08 06:30:00+00:00,0.9992967,143902.34224627732
2021-02-08 07:00:00+00:00,0.9990969,142327.80285811453
2021-02-08 07:30:00+00:00,1.00050409,314192.4064011116
2021-02-08 08:00:00+00:00,1.00061144,164323.84390442466
2021-02-08 08:30:00+00:00,1.00056385,206706.98628207383
2021-02-08 09:00:00+00:00,1.00070959,202157.04784296983
2021-02-08 09:30:00+00:00,1.00085972,177209.2720550507
2021-02-08 10:00:00+00:00,1.00083154,151369.03222865003
2021-02-08 10:30:00+00:00,1.00075928,315196.1678947039
2021-02-08 11:00:00+00:00,1.00099528,369137.97966919455
2021-02-08 11:30:00+00:00,1.00103358,271339.6267721815
2021-02-08 12:00:00+00:00,1.00091552,159360.56061064953
2021-02-08 12:30:00+00:00,1.00199749,1134332.0339031639
2021-02-08 13:00:00+00:00,1.00096616,2473387.3387520565
2021-02-08 13:30:00+00:00,1.00134331,1517419.1143777135
2021-02-08 14:00:00+00:00,1.0012452,1532101.3116717
2021-02-08 14:30:00+00:00,1.00093441,607214.1355935133
2021-02-08 15:00:00+00:00,1.00016036,1626776.5088794946
2021-02-08 15:30:00+00:00,1.00100159,1129098.2066258227
2021-02-08 16:00:00+00:00,1.00050254,2619773.175776075
2021-02-08 16:30:00+00:00,1.00112842,738775.9014202865
2021-02-08 17:00:00+00:00,1.00129695,733877.6225565837
2021-02-08 17:30:00+00:00,1.00160266,490668.3498577981
2021-02-08 18:00:00+00:00,1.00092934,510094.98238754953
2021-02-08 18:30:00+00:00,1.00095785,555507.2095887574
2021-02-08 19:00:00+00:00,1.00104953,389410.41777032695
2021-02-08 19:30:00+00:00,1.00129717,242781.84055940888
2021-02-08 20:00:00+00:00,1.0013718,572971.5602945456
2021-02-08 20:30:00+00:00,1.00046798,465635.031323473
2021-02-08 21:00:00+00:00,1.00103505,585306.9375919363
2021-02-08 21:30:00+00:00,1.0012983,458870.8590625532
2021-02-08 22:00:00+00:00,1.00101126,911812.3709854041
2021-02-08 22:30:00+00:00,1.00041802,505245.22665058816
2021-02-08 23:00:00+00:00,1.00128429,588021.9695774933
2021-02-08 23:30:00+00:00,1.00122484,1014727.6892254162
2021-02-09 00:00:00+00:00,1.00011656,1102963.9024564952
2021-02-09 00:30:00+00:00,1.00035775,1643507.1600352263
2021-02-09 01:00:00+00:00,1.00004655,1848625.2220050204
2021-02-09 01:30:00+00:00,0.99950645,1573046.825603115
2021-02-09 02:00:00+00:00,0.99913951,1187644.55399444
2021-02-09 02:30:00+00:00,1.00444987,1590882.3392059335
2021-02-09 03:00:00+00:00,0.99949165,732963.5237260769
2021-02-09 03:30:00+00:00,1.00224912,811537.2148115678
2021-02-09 04:00:00+00:00,1.00029976,416752.1006254501
2021-02-09 04:30:00+00:00,1.00051139,206764.39084816628
2021-02-09 05:00:00+00:00,1.0009384,619861.4812622559
2021-02-09 05:30:00+00:00,1.00058047,899409.2011690706
2021-02-09 06:00:00+00:00,1.00015978,522214.75737499143
2021-02-09 06:30:00+00:00,1.00103172,459617.30597026326
2021-02-09 07:00:00+00:00,1.00079842,506290.8441938516
2021-02-09 07:30:00+00:00,1.00042552,248647.3457382533
2021-02-09 08:00:00+00:00,1.001213,500649.5287832362
2021-02-09 08:30:00+00:00,1.0017144,236420.7104620416
2021-02-09 09:00:00+00:00,1.00096402,127706.23200164392
2021-02-09 09:30:00+00:00,1.00053073,238460.28497425432
2021-02-09 10:00:00+00:00,1.00055663,381937.6995739221
2021-02-09 10:30:00+00:00,1.00027225,313986.6192254491
2021-02-09 11:00:00+00:00,0.99972046,580771.9969007133
2021-02-09 11:30:00+00:00,0.99967308,176918.53256935172
2021-02-09 12:00:00+00:00,1.00011705,264046.2701121563
2021-02-09 12:30:00+00:00,1.00006743,562624.4308829341
2021-02-09 13:00:00+00:00,1.00049994,328775.9154137465
2021-02-09 13:30:00+00:00,0.99993127,322738.85949738155
2021-02-09 14:00:00+00:00,1.00033054,169608.0460525106
2021-02-09 14:30:00+00:00,1.00020399,206833.69224138887
2021-02-09 15:00:00+00:00,1.00255381,1506516.3953646163
2021-02-09 15:30:00+00:00,1.0018011,522767.51267535606
2021-02-09 16:00:00+00:00,1.00129493,405412.304003768
2021-02-09 16:30:00+00:00,1.0007201,451326.9801470424
2021-02-09 17:00:00+00:00,1.00023166,469974.5475596381
2021-02-09 17:30:00+00:00,0.99985245,1190202.9899645364
2021-02-09 18:00:00+00:00,0.99955069,834820.5067264881
2021-02-09 18:30:00+00:00,0.99938481,1582183.884249533
2021-02-09 19:00:00+00:00,0.99945626,749877.09226184
2021-02-09 19:30:00+00:00,0.99985843,632352.6441537024
2021-02-09 20:00:00+00:00,1.00035209,537091.5563822199
2021-02-09 20:30:00+00:00,0.99990666,361678.54964310816
2021-02-09 21:00:00+00:00,1.00032733,470889.7208226485
2021-02-09 21:30:00+00:00,1.00046853,607687.6714428691
2021-02-09 22:00:00+00:00,1.00054957,662717.7875338369
2021-02-09 22:30:00+00:00,1.00119531,446519.62660282326
2021-02-09 23:00:00+00:00,1.00122859,505326.46037021384
2021-02-09 23:30:00+00:00,1.00137786,432800.41619629547
2021-02-10 00:00:00+00:00,1.00072241,459207.4360836858
2021-02-10 00:30:00+00:00,1.00083172,527690.3520591349
2021-02-10 01:00:00+00:00,1.00080718,256712.81431908856
2021-02-10 01:30:00+00:00,1.00058085,340504.6570135648
2021-02-10 02:00:00+00:00,1.00070371,376481.2318852168
2021-02-10 02:30:00+00:00,1.00098094,450921.76402222936
2021-02-10 03:00:00+00:00,1.00135704,468845.43256273033
2021-02-10 03:30:00+00:00,1.00178261,279443.6783698759
2021-02-10 04:00:00+00:00,1.00105844,503732.91322865855
2021-02-10 04:30:00+00:00,1.00112888,301134.71174755925
2021-02-10 05:00:00+00:00,1.00085543,807930.312208782
2021-02-10 05:30:00+00:00,1.00047869,351493.9903115903
2021-02-10 06:00:00+00:00,1.00073867,385777.1762201761
2021-02-10 06:30:00+00:00,1.00111999,256166.2903733652
2021-02-10 07:00:00+00:00,1.00088688,336447.5586955641
2021-02-10 07:30:00+00:00,1.00091442,237907.73260500608
2021-02-10 08:00:00+00:00,1.00117137,294778.21964279265
2021-02-10 08:30:00+00:00,1.00126504,410636.0776101954
2021-02-10 09:00:00+00:00,1.0007065,380795.89731565246
2021-02-10 09:30:00+00:00,1.0003774,231131.21113653423
2021-02-10 10:00:00+00:00,1.00059913,169575.7852890968
2021-02-10 10:30:00+00:00,1.00070469,285790.4623225545
2021-02-10 11:00:00+00:00,1.00079809,252110.92973780807
2021-02-10 11:30:00+00:00,1.0009771,146907.62688789924
2021-02-10 12:00:00+00:00,1.00073997,435621.1498913897
2021-02-10 12:30:00+00:00,1.00200563,1219929.2702446738
2021-02-10 13:00:00+00:00,1.00020496,792548.5870354862
2021-02-10 13:30:00+00:00,1.00078233,679376.9310719115
2021-02-10 14:00:00+00:00,1.00043736,426181.42826625414
2021-02-10 14:30:00+00:00,1.00089335,271202.62182315614
2021-02-10 15:00:00+00:00,1.00132652,1214093.380373814
2021-02-10 15:30:00+00:00,1.0014144,2067566.635050509
2021-02-10 16:00:00+00:00,1.00129111,963371.8965971075
2021-02-10 16:30:00+00:00,1.00069136,652973.7113162329
2021-02-10 17:00:00+00:00,1.00096491,405522.91818186874
2021-02-10 17:30:00+00:00,1.00090135,475574.9881060331
2021-02-10 18:00:00+00:00,1.00120745,516176.27790968487
2021-02-10 18:30:00+00:00,1.00074861,813700.49507776
2021-02-10 19:00:00+00:00,1.00098032,488805.6552723383
2021-02-10 19:30:00+00:00,1.00088463,472333.2100809543
2021-02-10 20:00:00+00:00,1.00161188,704352.5786509555
2021-02-10 20:30:00+00:00,1.00150587,459922.273642445
2021-02-10 21:00:00+00:00,1.0009648,878905.9205794608
2021-02-10 21:30:00+00:00,1.0004775,369102.3873937201
2021-02-10 22:00:00+00:00,1.00097066,414625.0001804576
2021-02-10 22:30:00+00:00,1.00151529,383275.66645276814
2021-02-10 23:00:00+00:00,1.00122256,386722.28499342303
2021-02-10 23:30:00+00:00,1.00106483,297990.8151940543
2021-02-11 00:00:00+00:00,1.00136887,195066.78931160324
2021-02-11 00:30:00+00:00,1.00107767,334049.4873481196
2021-02-11 01:00:00+00:00,1.00131572,362474.90369524184
2021-02-11 01:30:00+00:00,1.00132615,589483.1597520062
2021-02-11 02:00:00+00:00,1.00266086,257394.74893111564
2021-02-11 02:30:00+00:00,1.00056109,352173.8144034553
2021-02-11 03:00:00+00:00,1.00130983,314855.1159818444
2021-02-11 03:30:00+00:00,1.00150987,159656.83125415098
2021-02-11 04:00:00+00:00,1.00136814,276182.988175577
2021-02-11 04:30:00+00:00,1.00116862,363442.7525494996
2021-02-11 05:00:00+00:00,1.00165582,423876.8350309304
2021-02-11 05:30:00+00:00,1.00109227,225110.94557829548
2021-02-11 06:00:00+00:00,1.00138826,347993.66911791335
2021-02-11 06:30:00+00:00,1.00038176,79701.88285108685
2021-02-11 07:00:00+00:00,1.00071693,16340.9219020044
2021-02-11 07:30:00+00:00,1.00057148,14113.55064691797
2021-02-11 08:00:00+00:00,1.00117038,485894.2104447625
2021-02-11 08:30:00+00:00,1.00088987,406177.3194989112
2021-02-11 09:00:00+00:00,1.00157415,277749.93151923973
2021-02-11 09:30:00+00:00,1.00141039,768814.5049483365
2021-02-11 10:00:00+00:00,1.00144348,462297.9457835375
2021-02-11 10:30:00+00:00,1.0015877,714590.6352480159
2021-02-11 11:00:00+00:00,1.00223649,379999.3837925376
2021-02-11 11:30:00+00:00,1.0015608,604345.8748517637
2021-02-11 12:00:00+00:00,1.00125141,658907.8595795323
2021-02-11 12:30:00+00:00,1.00144208,640874.9942535823
2021-02-11 13:00:00+00:00,1.00207772,708898.3880576832
2021-02-11 13:30:00+00:00,1.00186043,834013.0645106349
2021-02-11 14:00:00+00:00,1.00147314,669107.9472236822
2021-02-11 14:30:00+00:00,1.00182512,690860.3751334087
2021-02-11 15:00:00+00:00,1.00073359,1016167.5030513492
2021-02-11 15:30:00+00:00,1.00144881,579068.2766307148
2021-02-11 16:00:00+00:00,1.00170382,1015616.3265670286
2021-02-11 16:30:00+00:00,1.00157988,854883.8272722283
2021-02-11 17:00:00+00:00,1.00188431,1048617.7995572318
2021-02-11 17:30:00+00:00,1.00192556,610551.3006784312
2021-02-11 18:00:00+00:00,1.00202707,508727.330766355
2021-02-11 18:30:00+00:00,1.00200654,741634.5835910618
2021-02-11 19:00:00+00:00,1.00222931,584879.6779383203
2021-02-11 19:30:00+00:00,1.00263777,891658.0416253012
2021-02-11 20:00:00+00:00,1.00120463,955006.8330628958
2021-02-11 20:30:00+00:00,1.00160739,718926.0402291297
2021-02-11 21:00:00+00:00,1.00069016,781166.2965772939
2021-02-11 21:30:00+00:00,1.00135376,584042.0394469375
2021-02-11 22:00:00+00:00,1.00093675,293914.90399697213
2021-02-11 22:30:00+00:00,1.00094899,449546.2418292522
2021-02-11 23:00:00+00:00,1.00132172,475915.3567593594
2021-02-11 23:30:00+00:00,1.00114444,244732.45847017577
2021-02-12 00:00:00+00:00,1.00114024,366604.54720827774
2021-02-12 00:30:00+00:00,1.001375,307230.23875662725
2021-02-12 01:00:00+00:00,1.00124765,490484.911058012
2021-02-12 01:30:00+00:00,1.00103368,318477.27652987995
2021-02-12 02:00:00+00:00,1.00131887,336969.79530401103
2021-02-12 02:30:00+00:00,1.00101944,342453.7756493608
2021-02-12 03:00:00+00:00,1.00065857,364228.081846924
2021-02-12 03:30:00+00:00,1.00079962,222018.31328073677
2021-02-12 04:00:00+00:00,1.0003811,710069.9582897953
2021-02-12 04:30:00+00:00,1.00039722,434752.78170168254
2021-02-12 05:00:00+00:00,1.00045679,437312.35787573305
2021-02-12 05:30:00+00:00,1.00051382,312655.4204053635
2021-02-12 06:00:00+00:00,1.00119533,383401.3892414246
2021-02-12 06:30:00+00:00,1.00026752,358212.28434152604
2021-02-12 07:00:00+00:00,1.0001058,591383.4489842484
2021-02-12 07:30:00+00:00,1.00060203,686898.9074070913
2021-02-12 08:00:00+00:00,1.00064604,357138.5605569795
2021-02-12 08:30:00+00:00,1.00040226,666631.1069736838
2021-02-12 09:00:00+00:00,1.00005503,372203.71882576885
2021-02-12 09:30:00+00:00,1.00069268,439033.55373527855
2021-02-12 10:00:00+00:00,1.00024534,280268.50405349897
2021-02-12 10:30:00+00:00,1.00025431,370653.1269912809
2021-02-12 11:00:00+00:00,0.99997413,297455.43511439784
2021-02-12 11:30:00+00:00,1.00118856,448818.0385558634
2021-02-12 12:00:00+00:00,1.00032977,398373.6175091856
2021-02-12 12:30:00+00:00,1.00038806,363764.3157490853
2021-02-12 13:00:00+00:00,1.00105171,556588.4870455982
2021-02-12 13:30:00+00:00,1.00122817,444509.56748219795
2021-02-12 14:00:00+00:00,1.00150118,433441.9833286186
2021-02-12 14:30:00+00:00,1.00150536,1463134.4310883612
2021-02-12 15:00:00+00:00,1.00117569,527180.7805484376
2021-02-12 15:30:00+00:00,1.00186895,676401.8338477724
2021-02-12 16:00:00+00:00,1.00210848,752872.5246856046
2021-02-12 16:30:00+00:00,1.0015671,1073401.7664886008
2021-02-12 17:00:00+00:00,1.0015947,1021243.6200136696
2021-02-12 17:30:00+00:00,1.00156527,757106.8853938342
2021-02-12 18:00:00+00:00,1.00142372,994564.0021279155
2021-02-12 18:30:00+00:00,1.00143283,1208244.302304544
2021-02-12 19:00:00+00:00,1.00112558,982621.9633681385
2021-02-12 19:30:00+00:00,1.00131721,654889.6832915945
2021-02-12 20:00:00+00:00,1.00177955,1031590.8568582436
2021-02-12 20:30:00+00:00,1.00122833,560679.4356235785
2021-02-12 21:00:00+00:00,1.00178424,761529.4459109344
2021-02-12 21:30:00+00:00,0.9998645,1024703.4423851332
2021-02-12 22:00:00+00:00,1.00158736,648405.4106113996
2021-02-12 22:30:00+00:00,1.00179225,504320.3344328768
2021-02-12 23:00:00+00:00,1.00171484,409915.7688645295
2021-02-12 23:30:00+00:00,1.00208265,1023457.8688018182
2021-02-13 00:00:00+00:00,1.00184985,347436.39691609226
2021-02-13 00:30:00+00:00,1.00205697,462578.53326407133
2021-02-13 01:00:00+00:00,1.00256732,522303.5133032302
2021-02-13 01:30:00+00:00,1.00220505,362094.7074141039
2021-02-13 02:00:00+00:00,1.0030719,485810.1373493757
2021-02-13 02:30:00+00:00,1.00217054,418581.0203901721
2021-02-13 03:00:00+00:00,1.00251379,471405.5163008784
2021-02-13 03:30:00+00:00,1.00195186,409752.377730559
2021-02-13 04:00:00+00:00,1.00247309,301197.09428574634
2021-02-13 04:30:00+00:00,1.00236094,306602.53477799
2021-02-13 05:00:00+00:00,1.00183472,420521.4537259708
2021-02-13 05:30:00+00:00,1.0016889,385169.87321038096
2021-02-13 06:00:00+00:00,1.00230192,428849.38570238254
2021-02-13 06:30:00+00:00,1.00164452,280513.7425592748
2021-02-13 07:00:00+00:00,1.00168726,193876.2411041633
2021-02-13 07:30:00+00:00,1.0023328,502521.13639642094
2021-02-13 08:00:00+00:00,1.00185387,752175.0062770126
2021-02-13 08:30:00+00:00,1.00173759,347064.19114085246
2021-02-13 09:00:00+00:00,1.00183907,265241.461019344
2021-02-13 09:30:00+00:00,1.00181961,183676.15301367923
2021-02-13 10:00:00+00:00,1.0018459,576453.3175834726
2021-02-13 10:30:00+00:00,1.00206302,741460.6813772254
2021-02-13 11:00:00+00:00,1.00145997,1605411.9040027051
2021-02-13 11:30:00+00:00,1.00238358,813979.6081792288
2021-02-13 12:00:00+00:00,1.00160662,695478.8767849916
2021-02-13 12:30:00+00:00,1.0016819,361811.4293701221
2021-02-13 13:00:00+00:00,1.0022001,245757.7779546724
2021-02-13 13:30:00+00:00,1.00206645,334684.4035966013
2021-02-13 14:00:00+00:00,1.0021289,198088.39481350087
2021-02-13 14:30:00+00:00,1.0019003,299823.3980607019
2021-02-13 15:00:00+00:00,1.00175695,481526.7527754182
2021-02-13 15:30:00+00:00,1.00176306,513892.60637530446
2021-02-13 16:00:00+00:00,1.00218837,484468.0103566081
2021-02-13 16:30:00+00:00,1.00164034,551375.8307447438
2021-02-13 17:00:00+00:00,1.00179615,881628.1122831812
2021-02-13 17:30:00+00:00,1.00178553,558735.7696295967
2021-02-13 18:00:00+00:00,1.00209941,539160.6099885236
2021-02-13 18:30:00+00:00,1.00186266,405266.3086949018
2021-02-13 19:00:00+00:00,1.00136557,574726.7107775696
2021-02-13 19:30:00+00:00,1.00116165,439334.3587603219
2021-02-13 20:00:00+00:00,1.00152563,824072.0389924509
2021-02-13 20:30:00+00:00,1.00207891,482504.9417199607
2021-02-13 21:00:00+00:00,1.002141,750633.9865162352
2021-02-13 21:30:00+00:00,1.0018531,616138.8348674787
2021-02-13 22:00:00+00:00,1.0019866,345801.7301074268
2021-02-13 22:30:00+00:00,1.00143458,559322.1181832291
2021-02-13 23:00:00+00:00,1.00195584,506433.117298926
2021-02-13 23:30:00+00:00,1.00159555,385818.79688447545
2021-02-14 00:00:00+00:00,1.00184317,570222.1785073985
2021-02-14 00:30:00+00:00,1.00223456,549710.4189986262
2021-02-14 01:00:00+00:00,1.0020725,249362.2362850329
2021-02-14 01:30:00+00:00,1.00149792,297893.47245507635
2021-02-14 02:00:00+00:00,1.00239568,231049.63497419367
2021-02-14 02:30:00+00:00,1.00232697,231517.27313872965
2021-02-14 03:00:00+00:00,1.00219155,309524.2331826896
2021-02-14 03:30:00+00:00,1.00252204,349028.0507014043
2021-02-14 04:00:00+00:00,1.00237727,243709.15824405017
2021-02-14 04:30:00+00:00,1.00207367,348082.73968632467
2021-02-14 05:00:00+00:00,1.00180951,250095.17736725896
2021-02-14 05:30:00+00:00,1.00205333,424156.134043868
2021-02-14 06:00:00+00:00,1.00170214,547098.4103017718
2021-02-14 06:30:00+00:00,1.00167708,510135.5044879054
2021-02-14 07:00:00+00:00,1.00194063,129624.64589170064
2021-02-14 07:30:00+00:00,1.00169891,171296.46893688999
2021-02-14 08:00:00+00:00,1.00205586,223768.81641494777
2021-02-14 08:30:00+00:00,1.0019165,271583.44395547215
2021-02-14 09:00:00+00:00,1.00194471,199999.47493734915
2021-02-14 09:30:00+00:00,1.00175551,199471.83600492656
2021-02-14 10:00:00+00:00,1.00200353,195747.38054710376
2021-02-14 10:30:00+00:00,1.00191532,338735.9035467079
2021-02-14 11:00:00+00:00,1.00207828,389335.690034192
2021-02-14 11:30:00+00:00,1.00169623,165325.02406467465
2021-02-14 12:00:00+00:00,1.00169013,210419.1051084386
2021-02-14 12:30:00+00:00,1.00098164,359452.3532772918
2021-02-14 13:00:00+00:00,1.00081394,411967.326951718
2021-02-14 13:30:00+00:00,1.00155812,895259.9452907969
2021-02-14 14:00:00+00:00,1.00166227,662536.1104010821
2021-02-14 14:30:00+00:00,1.00175735,1334464.174676812
2021-02-14 15:00:00+00:00,1.00254286,946780.6345060506
2021-02-14 15:30:00+00:00,1.00296086,1106809.949841967
2021-02-14 16:00:00+00:00,1.00192454,641646.8483195035
2021-02-14 16:30:00+00:00,1.00219501,878114.8261537965
2021-02-14 17:00:00+00:00,1.00261362,461744.05004553497
2021-02-14 17:30:00+00:00,1.00287427,642659.9593728508
2021-02-14 18:00:00+00:00,1.00256738,473600.5165797281
2021-02-14 18:30:00+00:00,1.00256642,509984.954024544
2021-02-14 19:00:00+00:00,1.0023069,437006.8105283664
2021-02-14 19:30:00+00:00,1.00216128,477104.8919570141
2021-02-14 20:00:00+00:00,1.00255904,198290.82878952287
2021-02-14 20:30:00+00:00,1.00170796,487910.98537313775
2021-02-14 21:00:00+00:00,1.00224123,450759.4757673664
2021-02-14 21:30:00+00:00,1.00218406,566099.4514517952
2021-02-14 22:00:00+00:00,1.00281208,483523.0786090118
2021-02-14 22:30:00+00:00,1.00204279,454168.8788792468
2021-02-14 23:00:00+00:00,1.00235752,413095.4659295075
2021-02-14 23:30:00+00:00,1.00308842,386777.12729966646
